demuc_id,chude_id,chude_ten, demuc_ten, score
87bb6177-4c03-4173-8a12-9a75337bb2e0,ec61c177-8f68-4a69-a42b-2257d599d907,Xây dựng pháp luật và thi hành pháp luật,"Tiếp nhận, xử lý phản ánh, kiến nghị của cá nhân, tổ chức về quy định hành chính",37.66666666666666
87ca311f-a832-430e-993a-ffef40ef4043,ec61c177-8f68-4a69-a42b-2257d599d907,Xây dựng pháp luật và thi hành pháp luật,Ban hành văn bản quy phạm pháp luật,78.15
8b06986b-89cf-4a8d-8a2f-e14ff9e3123e,c3b69131-2931-4f67-926e-b244e18e8081,An ninh quốc gia,Biên giới quốc gia,58.333333333333336
8e9f6ba1-5870-479a-8030-0fa7c13c2d1a,487180ab-07c0-45c1-9e73-1ab76b2a55c9,"Văn hóa, thể thao, du lịch","Thể dục, thể thao",71.11111111111111
8fcdd797-43ee-4c72-924d-119a7395ed59,a5b5fa2d-056c-48c4-b6fc-c782359511ff,Hành chính tư pháp,Nuôi con nuôi,69.5
913b88fd-89da-4fc5-8268-477ae6d71bac,3a225bc6-c8c9-459e-967e-9876d4eb2c33,Công nghiệp,Sử dụng năng lượng tiết kiệm và hiệu quả,50.0
916a0b51-9d2e-4256-be6e-14c2e4b059ae,ed53d710-e3ae-4741-abc7-0f5dd82dec24,Lao động,Việc làm,63.0
9307592e-075c-4fed-ae43-f64ba345399c,1afcaf4b-85cb-4039-8627-3a8a101a7e5b,"Tài sản công, nợ công, dự trữ nhà nước","Quản lý, sử dụng vốn nhà nước đầu tư vào sản xuất, kinh doanh tại doanh nghiệp",35.0
93811189-2f4e-4bb7-90ce-cd15c0a093b7,ec61c177-8f68-4a69-a42b-2257d599d907,Xây dựng pháp luật và thi hành pháp luật,Theo dõi tình hình thi hành pháp luật,67.66666666666667
93c2e70c-57d6-4c12-8911-b345dcb69597,0f8741e9-b3d2-488b-aa70-961ccc802227,"Ngân hàng, tiền tệ",Bảo hiểm tiền gửi,82.33333333333333
956c36d8-0ced-4865-a298-51759c932274,487180ab-07c0-45c1-9e73-1ab76b2a55c9,"Văn hóa, thể thao, du lịch",Thư viện,55.0
9692aa2c-e220-4b39-9385-c1b837149556,81215563-6346-448e-bded-2933f86276bb,"Nông nghiệp, nông thôn",Bảo vệ và kiểm dịch thực vật,52.5
97b77c60-c651-4741-9728-b69544031858,859b54fa-0c05-4807-a50c-c8be82fcae62,Quốc phòng,Quốc phòng,95.0
985838c2-d5e2-423d-9253-7f95ea82af57,ed53d710-e3ae-4741-abc7-0f5dd82dec24,Lao động,Giáo dục nghề nghiệp,71.09417040358744
9b1d96e2-feb2-4e7f-824b-b50ed8ee2a7a,81215563-6346-448e-bded-2933f86276bb,"Nông nghiệp, nông thôn",Phát triển ngành nghề nông thôn,50.0
9bd8b88d-65b4-44e2-b4b0-34c74810af4a,859b54fa-0c05-4807-a50c-c8be82fcae62,Quốc phòng,Nghĩa vụ quân sự,60.0
9d3b3dad-7259-40ca-a446-261a7e528988,ce9b9ff4-87dd-44d1-add8-27c1ec82d856,"Tổ chức chính trị - xã hội, hội","Tổ chức, hoạt động của quỹ xã hội, quỹ từ thiện",85.0
9d9a7001-0799-4bd8-8c31-964f9a7b9603,965fd0b7-e8b0-434a-83c2-9f9b2b4fbcba,"Trật tự, an toàn xã hội",Xử lý vi phạm hành chính,71.88255033557047
9fcc00f2-817c-4857-9347-1a65efa9c0cd,965fd0b7-e8b0-434a-83c2-9f9b2b4fbcba,"Trật tự, an toàn xã hội",Cảnh sát môi trường,80.0
a1971a0f-7216-4ee2-b312-9b376f35fbd8,6db952fa-b9dd-41f7-adf5-ccb22100ac9c,"Ngoại giao, điều ước quốc tế",Thỏa thuận quốc tế,45.0
a19e4401-8e66-438e-9f76-f769826ebbe3,859b54fa-0c05-4807-a50c-c8be82fcae62,Quốc phòng,"Thực hiện chế độ hưu trí đối với quân nhân trực tiếp tham gia kháng chiến chống Mỹ cứu nước từ ngày 30 tháng 4 năm 1975 trở về trước có 20 năm trở lên phục vụ quân đội đã phục viên, xuất ngũ",78.5
a1df366a-8d87-4f3f-9aa9-2a14ab8c2a3a,717625a2-281b-4307-b21b-68b1c73d2207,"Thương mại, đầu tư, chứng khoán",Chứng khoán,43.125
a2005eb5-2c8c-4ca0-910d-8d73efabab5a,b82ee309-2527-4a7d-8d4d-fccdfabbc86c,"Giao thông, vận tải",Giao thông đường bộ,56.95121951219512
